Date,Time,Thermocouple #1[C],TC Cold Junction #1[C],Water Level[in],Probe #1 Humidity,Probe #1 Temperature[C],EC[uS/cm],Probe #1 Light Level[lux],PH,Probe #1 Moisture Level,
08/01/21,19:22:04,30.75,32.44,3.00,40.64,30.70,1.60,17.97,3.99,352.00,
08/01/21,19:23:04,30.75,32.44,3.00,40.61,30.66,1.60,15.78,3.99,353.00,
08/01/21,19:24:04,30.75,32.44,3.00,40.58,30.63,1.60,11.52,4.00,353.00,
08/01/21,19:25:05,30.75,32.44,3.00,40.66,30.64,1.59,10.54,3.99,353.00,
08/01/21,19:26:05,30.75,32.44,3.00,40.68,30.59,1.60,8.18,3.99,352.00,
08/01/21,19:27:05,30.75,32.44,3.00,40.56,30.56,1.59,6.39,4.00,352.00,
08/01/21,19:28:06,30.75,32.38,3.00,40.68,30.52,1.59,6.45,3.99,353.00,
08/01/21,19:29:06,30.75,32.38,3.00,40.69,30.49,1.59,6.57,3.99,352.00,
08/01/21,19:30:07,30.50,32.38,3.00,40.58,30.49,1.59,5.79,3.99,352.00,
08/01/21,19:31:07,30.50,32.38,3.00,40.66,30.43,1.59,5.88,3.99,352.00,
08/01/21,19:32:08,30.75,32.31,3.00,40.60,30.42,1.59,5.85,3.99,353.00,
08/01/21,19:33:08,30.50,32.31,3.00,40.60,30.42,1.60,5.99,3.98,352.00,
08/01/21,19:34:09,30.50,32.31,3.00,40.74,30.39,1.60,6.05,3.98,353.00,
08/01/21,19:35:09,30.50,32.25,3.00,40.72,30.37,1.60,5.07,3.98,352.00,
08/01/21,19:36:10,30.50,32.19,3.00,40.62,30.32,1.60,5.27,3.98,353.00,
08/01/21,19:37:10,30.50,32.19,3.00,40.80,30.26,1.60,5.41,3.98,351.00,
08/01/21,19:38:11,30.50,32.19,3.00,40.70,30.25,1.60,5.50,3.98,352.00,
08/01/21,19:39:11,30.25,32.12,3.00,40.84,30.25,1.60,4.84,3.98,352.00,
08/01/21,19:40:11,30.25,32.12,3.00,40.59,30.19,1.60,4.03,3.98,352.00,
08/01/21,19:41:12,30.25,32.12,3.00,40.84,30.19,1.60,4.46,3.98,353.00,
08/01/21,19:42:12,30.25,32.06,3.00,40.78,30.09,1.60,4.15,3.98,351.00,
08/01/21,19:43:12,30.00,32.06,3.00,40.89,30.08,1.60,3.86,3.97,352.00,
08/01/21,19:44:13,30.00,32.06,3.00,40.96,30.07,1.60,3.89,3.98,351.00,
08/01/21,19:45:13,30.25,32.00,3.00,40.96,30.00,1.60,3.69,3.97,352.00,
08/01/21,19:46:14,30.00,32.00,3.00,41.06,29.95,1.60,3.69,3.98,353.00,
08/01/21,19:47:14,30.00,31.94,3.00,41.04,29.92,1.60,3.97,3.97,352.00,
08/01/21,19:48:15,30.00,31.88,3.00,41.04,29.88,1.60,3.34,3.97,351.00,
08/01/21,19:49:15,29.75,31.88,3.00,40.90,29.87,1.60,3.89,3.97,352.00,
08/01/21,19:50:15,29.75,31.88,3.00,40.93,29.85,1.60,3.40,3.97,352.00,
08/01/21,19:51:16,30.00,31.81,3.00,40.91,29.82,1.60,3.17,3.97,352.00,
08/01/21,19:52:16,30.00,31.81,3.00,40.99,29.82,1.60,3.43,3.97,352.00,
08/01/21,19:53:16,30.00,31.75,3.00,40.80,29.78,1.60,3.37,3.97,351.00,
08/01/21,19:54:17,29.75,31.75,3.00,40.92,29.78,1.60,2.74,3.97,352.00,
08/01/21,19:55:17,29.75,31.75,3.00,41.00,29.74,1.60,3.05,3.97,352.00,
08/01/21,19:56:17,29.75,31.69,3.00,41.00,29.70,1.61,2.97,3.97,352.00,
08/01/21,19:57:18,29.75,31.69,3.00,40.99,29.70,1.61,2.61,3.96,352.00,
08/01/21,19:58:19,29.50,31.69,3.00,40.98,29.67,1.61,2.71,3.97,352.00,
08/01/21,19:59:19,29.75,31.69,3.00,41.02,29.66,1.61,2.52,3.96,352.00,
08/01/21,20:00:20,29.75,31.69,3.00,41.04,29.67,1.61,2.32,3.97,352.00,
08/01/21,20:01:21,29.75,31.62,3.00,40.85,29.64,1.61,2.30,3.96,352.00,
08/01/21,20:02:22,29.50,31.56,3.00,40.99,29.64,1.61,2.20,3.97,352.00,
08/01/21,20:03:22,29.75,31.56,3.00,41.08,29.63,1.61,1.93,3.97,352.00,
08/01/21,20:04:23,29.50,31.50,3.00,41.02,29.60,1.61,1.68,3.97,352.00,
08/01/21,20:05:24,29.75,31.50,3.00,41.19,29.61,1.61,1.56,3.96,352.00,
08/01/21,20:06:25,29.75,31.44,3.00,41.26,29.63,1.61,1.63,3.96,351.00,
08/01/21,20:07:26,29.75,31.44,3.00,41.26,29.56,1.61,1.87,3.96,352.00,
08/01/21,20:08:26,29.50,31.44,3.00,41.28,29.49,1.61,1.63,3.97,353.00,
08/01/21,20:09:27,29.50,31.38,3.00,41.40,29.53,1.61,1.66,3.96,353.00,
08/01/21,20:10:27,29.50,31.38,3.00,41.44,29.52,1.61,1.56,3.96,352.00,
08/01/21,20:11:28,29.25,31.38,3.00,41.41,29.47,1.61,1.51,3.97,352.00,
08/01/21,20:12:29,29.50,31.31,3.00,41.46,29.44,1.61,1.36,3.96,352.00,
08/01/21,20:13:29,29.25,31.25,3.00,41.43,29.40,1.61,1.17,3.96,352.00,
08/01/21,20:14:29,29.25,31.25,3.00,41.54,29.43,1.61,1.11,3.96,352.00,
08/01/21,20:15:30,29.25,31.25,3.00,41.53,29.40,1.61,1.13,3.96,353.00,
08/01/21,20:16:30,29.25,31.19,3.00,41.49,29.32,1.61,1.01,3.96,353.00,
08/01/21,20:17:30,29.25,31.19,3.00,41.53,29.27,1.60,0.62,3.96,352.00,
08/01/21,20:18:30,29.25,31.19,3.00,41.70,29.29,1.61,0.49,3.96,352.00,
08/01/21,20:19:31,29.25,31.12,3.00,41.70,29.30,1.61,0.39,3.96,353.00,
08/01/21,20:20:31,29.25,31.12,3.00,41.66,29.29,1.61,0.35,3.96,352.00,
08/01/21,20:21:31,29.00,31.06,3.00,41.67,29.25,1.61,0.31,3.96,353.00,
08/01/21,20:22:32,29.00,31.06,3.00,41.64,29.25,1.61,0.28,3.95,352.00,
08/01/21,20:23:33,29.00,31.06,3.00,41.72,29.22,1.61,0.23,3.96,352.00,
08/01/21,20:24:33,29.00,31.00,3.00,41.64,29.18,1.61,0.14,3.96,351.00,
08/01/21,20:25:34,29.25,31.00,3.00,41.71,29.18,1.61,0.14,3.96,352.00,
08/01/21,20:26:35,29.25,31.00,3.00,41.76,29.16,1.61,0.10,3.96,353.00,
08/01/21,20:27:35,29.00,31.00,3.00,41.71,29.12,1.61,0.07,3.95,352.00,
08/01/21,20:28:36,29.00,30.94,3.00,41.74,29.09,1.61,0.03,3.95,353.00,
08/01/21,20:29:37,29.00,30.94,3.00,41.84,29.06,1.61,0.03,3.96,352.00,
08/01/21,20:30:37,29.00,30.94,3.00,41.94,29.05,1.61,0.00,3.95,352.00,
08/01/21,20:31:37,29.00,30.88,3.00,41.98,29.06,1.61,0.00,3.96,351.00,
08/01/21,20:32:38,29.00,30.88,3.00,41.96,29.04,1.61,0.00,3.95,352.00,
08/01/21,20:33:39,28.50,30.88,3.00,41.93,29.01,1.61,0.00,3.95,352.00,
08/01/21,20:34:39,28.75,30.88,3.00,41.84,28.95,1.61,0.00,3.95,352.00,
08/01/21,20:35:40,28.75,30.81,3.00,41.89,28.89,1.61,0.00,3.95,352.00,
08/01/21,20:36:41,28.75,30.81,3.00,42.03,28.88,1.61,0.00,3.96,352.00,
08/01/21,20:37:41,28.75,30.75,3.00,42.16,28.88,1.61,0.00,3.95,352.00,
08/01/21,20:38:42,28.75,30.75,3.00,42.12,28.89,1.61,0.00,3.95,352.00,
08/01/21,20:39:42,28.75,30.75,3.00,42.13,28.91,1.61,0.00,3.95,352.00,
08/01/21,20:40:43,29.00,30.69,3.00,42.06,28.89,1.61,0.00,3.95,351.00,
08/01/21,20:41:43,29.00,30.69,3.00,42.04,28.88,1.61,0.00,3.95,352.00,
08/01/21,20:42:44,28.75,30.69,3.00,42.10,28.82,1.61,0.00,3.95,352.00,
08/01/21,20:43:44,28.75,30.62,3.00,42.14,28.78,1.61,0.00,3.95,352.00,
08/01/21,20:44:45,28.50,30.56,3.00,42.06,28.71,1.61,0.00,3.95,352.00,
08/01/21,20:45:45,28.50,30.62,3.00,42.09,28.67,1.61,0.00,3.95,352.00,
08/01/21,20:46:46,28.50,30.56,3.00,42.22,28.65,1.61,0.00,3.95,352.00,
08/01/21,20:47:46,28.75,30.56,3.00,42.32,28.63,1.61,0.00,3.95,352.00,
08/01/21,20:48:47,28.50,30.50,3.00,42.29,28.63,1.61,0.00,3.95,353.00,
08/01/21,20:49:48,28.25,30.50,3.00,42.23,28.60,1.62,0.00,3.94,351.00,
08/01/21,20:50:48,28.50,30.44,3.00,42.23,28.54,1.62,0.00,3.94,351.00,
08/01/21,20:51:49,28.50,30.44,3.00,42.27,28.49,1.62,0.00,3.95,352.00,
08/01/21,20:52:50,28.50,30.44,3.00,42.31,28.44,1.62,0.00,3.95,352.00,
08/01/21,20:53:50,28.25,30.44,3.00,42.38,28.42,1.61,0.00,3.94,352.00,
08/01/21,20:54:51,28.50,30.44,3.00,42.40,28.40,1.61,0.00,3.94,351.00,
08/01/21,20:55:51,28.50,30.38,3.00,42.46,28.35,1.61,0.00,3.94,351.00,
08/01/21,20:56:52,28.50,30.38,3.00,42.49,28.37,1.61,0.00,3.94,351.00,
08/01/21,20:57:53,28.25,30.31,3.00,42.42,28.36,1.61,0.00,3.94,351.00,
08/01/21,20:58:53,28.00,30.25,3.00,42.46,28.32,1.61,0.00,3.94,352.00,
08/01/21,20:59:54,28.00,30.25,3.00,42.41,28.29,1.61,1.45,3.94,351.00,
08/01/21,21:00:54,28.25,30.25,3.00,42.60,28.26,1.61,1.41,3.94,351.00,
08/01/21,21:01:55,28.25,30.25,3.00,42.80,28.30,1.61,1.32,3.94,352.00,
08/01/21,21:02:55,28.25,30.25,3.00,42.73,28.35,1.62,1.45,3.94,352.00,
08/01/21,21:03:56,28.25,30.19,3.00,42.77,28.37,1.61,1.43,3.94,352.00,
08/01/21,21:04:56,28.50,30.12,3.00,42.68,28.37,1.61,1.63,3.95,352.00,
08/01/21,21:05:56,28.50,30.12,3.00,42.58,28.42,1.61,1.56,3.95,352.00,
08/01/21,21:06:57,28.50,30.19,3.00,42.81,28.42,1.62,1.60,3.94,352.00,
08/01/21,21:07:58,28.50,30.12,3.00,42.42,28.35,1.62,1.64,3.94,352.00,
08/01/21,21:08:59,28.50,30.12,3.00,42.66,28.33,1.61,1.44,3.95,352.00,
08/01/21,21:09:59,28.50,30.12,3.00,42.60,28.35,1.62,1.61,3.95,351.00,
08/01/21,21:11:00,28.25,30.06,3.00,42.67,28.36,1.61,1.56,3.95,351.00,
08/01/21,21:12:00,28.25,30.06,3.00,42.74,28.35,1.62,1.41,3.95,352.00,
08/01/21,21:13:01,28.25,30.06,3.00,42.79,28.32,1.62,0.79,3.95,352.00,
08/01/21,21:14:02,28.25,30.06,3.00,42.89,28.33,1.62,0.78,3.95,351.00,
08/01/21,21:15:02,28.25,30.00,3.00,42.88,28.35,1.61,0.78,3.95,352.00,
08/01/21,21:16:03,28.25,30.00,3.00,42.86,28.35,1.61,0.78,3.95,352.00,
08/01/21,21:17:03,28.25,30.00,3.00,42.82,28.36,1.61,0.79,3.95,351.00,
08/01/21,21:18:03,28.25,29.94,3.00,42.90,28.36,1.61,0.94,3.95,352.00,
08/01/21,21:19:03,28.25,29.94,3.00,42.78,28.37,1.61,1.00,3.95,352.00,
08/01/21,21:20:03,28.25,29.94,3.00,42.94,28.37,1.61,1.00,3.95,352.00,
08/01/21,21:21:04,28.50,29.94,3.00,42.87,28.39,1.61,1.02,3.94,352.00,
08/01/21,21:22:04,28.00,29.94,3.00,42.75,28.35,1.62,1.00,3.94,352.00,
08/01/21,21:23:05,28.00,29.88,3.00,42.52,28.23,1.61,1.02,3.94,352.00,
08/01/21,21:24:06,27.75,29.88,3.00,42.70,28.20,1.62,0.81,3.95,352.00,
08/01/21,21:25:07,27.75,29.88,3.00,42.69,28.10,1.62,0.78,3.94,353.00,
08/01/21,21:26:08,27.75,29.75,3.00,42.85,28.01,1.62,0.97,3.95,351.00,
08/01/21,21:27:08,27.75,29.69,3.00,42.95,27.94,1.62,0.91,3.95,352.00,
08/01/21,21:28:08,27.75,29.62,3.00,42.90,27.94,1.62,0.96,3.95,352.00,
08/01/21,21:29:08,27.75,29.56,3.00,42.88,27.88,1.62,0.80,3.94,352.00,
08/01/21,21:30:09,27.75,29.50,3.00,43.30,27.94,1.61,0.96,3.95,352.00,
08/01/21,21:31:09,27.75,29.50,3.00,43.47,27.98,1.61,0.64,3.95,352.00,
08/01/21,21:32:09,27.25,29.44,3.00,43.32,27.91,1.62,0.72,3.94,352.00,
08/01/21,21:33:09,27.25,29.38,3.00,43.31,27.89,1.62,0.78,3.94,352.00,
08/01/21,21:34:10,27.25,29.25,3.00,43.07,27.81,1.62,0.80,3.95,352.00,
08/01/21,21:35:11,27.25,29.25,3.00,43.52,27.80,1.62,0.69,3.94,352.00,
08/01/21,21:36:11,27.50,29.19,3.00,43.40,27.80,1.62,0.66,3.95,353.00,
08/01/21,21:37:12,27.50,29.19,3.00,43.41,27.78,1.62,0.66,3.95,353.00,
08/01/21,21:38:13,27.50,29.12,3.00,43.72,27.80,1.61,0.68,3.95,353.00,
08/01/21,21:39:13,27.75,29.12,3.00,43.53,27.81,1.61,0.66,3.94,352.00,
08/01/21,21:40:14,27.50,29.06,3.00,43.40,27.77,1.61,0.66,3.95,352.00,
08/01/21,21:41:14,27.75,29.12,3.00,43.59,27.74,1.62,0.67,3.95,352.00,
08/01/21,21:42:15,27.75,29.06,3.00,43.60,27.75,1.62,0.44,3.95,351.00,
08/01/21,21:43:15,27.75,29.06,3.00,43.50,27.78,1.62,0.12,3.94,352.00,
08/01/21,21:44:16,27.75,29.06,3.00,43.61,27.75,1.62,0.12,3.94,352.00,
08/01/21,21:45:16,27.50,29.06,3.00,43.57,27.72,1.62,0.12,3.95,352.00,
08/01/21,21:46:17,27.50,29.00,3.00,43.53,27.64,1.62,0.12,3.95,352.00,
08/01/21,21:47:18,27.50,28.94,3.00,43.61,27.63,1.62,0.12,3.95,352.00,
08/01/21,21:48:18,27.50,28.94,3.00,43.63,27.55,1.62,0.12,3.95,353.00,
08/01/21,21:49:19,27.50,28.94,3.00,43.60,27.54,1.62,0.12,3.95,353.00,
08/01/21,21:50:19,27.50,28.88,3.00,43.84,27.50,1.62,0.12,3.95,353.00,
08/01/21,21:51:20,27.50,28.94,3.00,44.05,27.48,1.62,0.12,3.94,352.00,
08/01/21,21:52:20,27.50,28.81,3.00,43.97,27.46,1.62,0.12,3.94,352.00,
08/01/21,21:53:21,27.50,28.81,3.00,44.08,27.47,1.62,0.12,3.94,353.00,
08/01/21,21:54:22,27.50,28.81,3.00,43.97,27.46,1.62,0.12,3.94,352.00,
08/01/21,21:55:22,27.50,28.75,3.00,44.06,27.43,1.62,0.12,3.94,351.00,
08/01/21,21:56:23,27.50,28.75,3.00,44.10,27.46,1.62,0.12,3.95,352.00,
08/01/21,21:57:24,27.50,28.81,3.00,44.32,27.51,1.62,0.12,3.94,352.00,
08/01/21,21:58:24,27.50,28.75,3.00,44.06,27.44,1.62,0.13,3.94,352.00,
08/01/21,21:59:24,27.50,28.75,3.00,44.43,27.51,1.62,0.13,3.94,352.00,
08/01/21,22:00:25,27.50,28.75,3.00,44.40,27.55,1.62,0.12,3.94,352.00,
08/01/21,22:01:26,27.50,28.75,3.00,44.41,27.57,1.62,0.12,3.94,353.00,
08/01/21,22:02:26,27.50,28.75,3.00,44.43,27.55,1.62,0.12,3.94,351.00,
08/01/21,22:03:27,27.50,28.75,3.00,44.34,27.50,1.62,0.12,3.94,352.00,
08/01/21,22:04:27,27.50,28.81,3.00,44.39,27.47,1.62,0.12,3.94,352.00,
08/01/21,22:05:28,27.25,28.75,3.00,44.54,27.42,1.62,0.12,3.94,352.00,
08/01/21,22:06:29,27.25,28.69,3.00,44.57,27.34,1.62,0.12,3.93,352.00,
08/01/21,22:07:29,27.25,28.69,3.00,45.14,27.34,1.62,0.12,3.93,352.00,
08/01/21,22:08:30,27.25,28.69,3.00,45.05,27.34,1.62,0.12,3.94,352.00,
08/01/21,22:09:31,27.25,28.69,3.00,44.93,27.39,1.62,0.13,3.94,352.00,
08/01/21,22:10:31,27.25,28.62,3.00,45.23,27.37,1.62,0.12,3.93,352.00,
08/01/21,22:11:32,27.25,28.69,3.00,45.02,27.37,1.62,0.12,3.93,353.00,
08/01/21,22:12:33,27.25,28.69,3.00,45.04,27.43,1.62,0.12,3.93,353.00,
08/01/21,22:13:33,27.50,28.75,3.00,44.94,27.44,1.62,0.12,3.93,352.00,
08/01/21,22:14:34,27.50,28.69,3.00,45.08,27.47,1.62,0.12,3.93,352.00,
08/01/21,22:15:34,27.25,28.75,3.00,44.82,27.44,1.62,0.11,3.94,352.00,
08/01/21,22:16:35,27.25,28.69,3.00,44.83,27.42,1.62,0.12,3.94,352.00,
08/01/21,22:17:36,27.25,28.69,3.00,44.88,27.39,1.62,0.12,3.94,352.00,
08/01/21,22:18:36,27.25,28.69,3.00,45.14,27.39,1.62,0.12,3.94,353.00,
08/01/21,22:19:36,27.50,28.69,3.00,45.17,27.43,1.62,0.12,3.94,352.00,
08/01/21,22:20:37,27.25,28.69,3.00,45.17,27.44,1.62,0.12,3.94,353.00,
08/01/21,22:21:38,27.25,28.69,3.00,45.18,27.43,1.62,0.13,3.94,353.00,
08/01/21,22:22:38,27.25,28.69,3.00,44.96,27.40,1.62,0.12,3.94,352.00,
08/01/21,22:23:39,27.25,28.62,3.00,45.04,27.43,1.62,0.12,3.94,352.00,
08/01/21,22:24:39,27.25,28.69,3.00,45.35,27.47,1.62,0.10,3.93,352.00,
08/01/21,22:25:40,26.75,28.69,3.00,45.19,27.50,1.61,0.12,3.94,352.00,
08/01/21,22:26:40,27.25,28.75,3.00,45.27,27.48,1.61,0.11,3.93,352.00,
08/01/21,22:27:41,27.25,28.69,3.00,45.67,27.51,1.61,0.11,3.94,352.00,
08/01/21,22:28:41,27.25,28.69,3.00,45.45,27.51,1.61,0.11,3.93,352.00,
08/01/21,22:29:42,27.25,28.69,3.00,45.67,27.46,1.62,0.09,3.93,353.00,
08/01/21,22:30:43,27.25,28.69,3.00,45.82,27.42,1.62,0.57,3.93,352.00,
08/01/21,22:31:43,27.25,28.62,3.00,45.79,27.39,1.62,0.60,3.93,353.00,
08/01/21,22:32:44,27.25,28.62,3.00,45.56,27.33,1.62,0.60,3.93,352.00,
08/01/21,22:33:44,27.00,28.56,3.00,45.57,27.23,1.62,0.60,3.93,352.00,
08/01/21,22:34:44,27.00,28.56,3.00,45.89,27.22,1.62,0.60,3.93,352.00,
08/01/21,22:35:45,27.00,28.50,3.00,45.68,27.10,1.62,0.59,3.93,353.00,
08/01/21,22:36:46,27.00,28.50,3.00,45.99,27.09,1.62,0.61,3.93,353.00,
08/01/21,22:37:46,27.00,28.44,3.00,45.85,27.03,1.62,0.60,3.93,352.00,
08/01/21,22:38:46,27.00,28.44,3.00,45.85,26.93,1.62,0.60,3.93,352.00,
08/01/21,22:39:47,26.75,28.38,3.00,45.94,26.85,1.62,0.60,3.93,352.00,
08/01/21,22:40:47,27.00,28.31,3.00,45.91,26.74,1.62,0.15,3.93,351.00,
08/01/21,22:41:48,26.75,28.25,3.00,45.97,26.72,1.62,0.16,3.93,353.00,
08/01/21,22:42:49,26.75,28.31,3.00,46.48,26.75,1.62,0.15,3.93,352.00,
08/01/21,22:43:49,26.75,28.25,3.00,46.26,26.77,1.62,0.15,3.93,353.00,
08/01/21,22:44:49,27.00,28.25,3.00,46.32,26.75,1.62,0.15,3.92,352.00,
08/01/21,22:45:50,26.75,28.25,3.00,46.31,26.70,1.62,0.16,3.93,353.00,
08/01/21,22:46:50,26.75,28.19,3.00,46.27,26.70,1.62,0.15,3.93,352.00,
08/01/21,22:47:51,26.75,28.19,3.00,46.48,26.68,1.62,0.15,3.93,353.00,
08/01/21,22:48:52,26.75,28.19,3.00,46.60,26.67,1.62,0.15,3.93,351.00,
08/01/21,22:49:53,26.75,28.19,3.00,46.66,26.62,1.62,0.16,3.93,353.00,
08/01/21,22:50:53,26.75,28.12,3.00,46.52,26.51,1.62,0.16,3.93,352.00,
08/01/21,22:51:54,26.75,28.12,3.00,46.70,26.53,1.63,0.16,3.93,352.00,
08/01/21,22:52:54,26.75,28.06,3.00,46.69,26.48,1.63,0.17,3.93,352.00,
08/01/21,22:53:55,26.75,28.12,3.00,46.88,26.48,1.63,0.16,3.93,352.00,
08/01/21,22:54:55,26.75,28.06,3.00,46.97,26.48,1.63,0.15,3.93,353.00,
08/01/21,22:55:55,26.75,28.06,3.00,46.97,26.48,1.62,0.16,3.93,351.00,
08/01/21,22:56:56,26.75,28.12,3.00,47.05,26.53,1.62,0.16,3.93,352.00,
08/01/21,22:57:56,26.75,28.06,3.00,47.16,26.53,1.62,0.16,3.93,353.00,
08/01/21,22:58:56,26.75,28.00,3.00,46.96,26.51,1.62,0.15,3.93,352.00,
08/01/21,22:59:57,26.75,28.06,3.00,47.21,26.54,1.62,0.16,3.93,352.00,
08/01/21,23:00:57,26.75,28.00,3.00,47.00,26.48,1.62,0.16,3.92,353.00,
08/01/21,23:01:57,26.50,28.00,3.00,47.11,26.51,1.62,0.16,3.92,352.00,
08/01/21,23:02:58,26.75,28.00,3.00,47.42,26.55,1.62,0.16,3.92,352.00,
08/01/21,23:03:58,26.75,28.00,3.00,47.20,26.53,1.62,0.16,3.93,352.00,
08/01/21,23:04:58,26.75,28.00,3.00,47.25,26.50,1.62,0.17,3.93,352.00,
08/01/21,23:05:59,26.75,28.00,3.00,47.31,26.53,1.62,0.16,3.93,353.00,
08/01/21,23:06:59,26.75,28.06,3.00,47.20,26.54,1.62,0.15,3.93,353.00,
08/01/21,23:07:59,26.50,28.00,3.00,47.08,26.53,1.62,0.16,3.93,351.00,
08/01/21,23:09:00,26.50,28.00,3.00,47.02,26.50,1.62,0.16,3.93,352.00,
08/01/21,23:10:01,26.50,28.00,3.00,47.08,26.48,1.62,0.16,3.93,351.00,
08/01/21,23:11:02,26.50,27.94,3.00,47.19,26.48,1.62,0.16,3.93,352.00,
08/01/21,23:12:02,26.75,27.94,3.00,47.33,26.47,1.62,0.15,3.93,352.00,
08/01/21,23:13:03,26.50,27.94,3.00,47.06,26.44,1.62,0.17,3.93,352.00,
08/01/21,23:14:04,26.50,27.94,3.00,46.86,26.38,1.62,0.16,3.93,353.00,
08/01/21,23:15:04,26.50,27.94,3.00,46.99,26.33,1.63,0.16,3.93,352.00,
08/01/21,23:16:05,26.50,27.94,3.00,46.92,26.30,1.63,0.16,3.93,351.00,
08/01/21,23:17:05,26.25,27.88,3.00,47.11,26.30,1.62,0.16,3.93,351.00,
08/01/21,23:18:05,26.50,27.88,3.00,47.08,26.29,1.62,0.17,3.93,353.00,
08/01/21,23:19:06,26.50,27.88,3.00,47.32,26.33,1.62,0.16,3.93,352.00,
08/01/21,23:20:07,26.50,27.88,3.00,47.20,26.30,1.62,0.16,3.93,352.00,
08/01/21,23:21:07,26.50,27.88,3.00,47.15,26.33,1.62,0.16,3.93,352.00,
08/01/21,23:22:08,26.50,27.81,3.00,47.16,26.27,1.62,0.16,3.93,352.00,
08/01/21,23:23:08,26.50,27.81,3.00,47.06,26.27,1.62,0.16,3.93,352.00,
08/01/21,23:24:09,26.25,27.81,3.00,47.05,26.26,1.62,0.16,3.93,353.00,
08/01/21,23:25:10,26.25,27.81,3.00,47.12,26.20,1.62,0.17,3.93,352.00,
08/01/21,23:26:10,26.25,27.81,3.00,47.42,26.25,1.62,0.16,3.92,353.00,
08/01/21,23:27:11,26.25,27.81,3.00,47.34,26.20,1.62,0.17,3.93,352.00,
08/01/21,23:28:12,26.25,27.81,3.00,47.41,26.25,1.62,0.16,3.93,353.00,
08/01/21,23:29:13,26.25,27.81,3.00,47.24,26.27,1.62,0.16,3.93,352.00,
08/01/21,23:30:13,26.25,27.81,3.00,47.09,26.30,1.63,0.16,3.92,353.00,
08/01/21,23:31:14,26.50,27.81,3.00,47.09,26.30,1.62,0.16,3.93,352.00,
08/01/21,23:32:15,26.50,27.81,3.00,47.24,26.37,1.62,0.16,3.93,352.00,
08/01/21,23:33:16,26.25,27.81,3.00,47.13,26.37,1.62,0.16,3.92,352.00,
08/01/21,23:34:16,26.50,27.81,3.00,47.10,26.43,1.62,0.15,3.92,353.00,
08/01/21,23:35:17,26.50,27.81,3.00,47.15,26.43,1.62,0.16,3.92,353.00,
08/01/21,23:36:18,26.25,27.81,3.00,47.22,26.45,1.62,0.17,3.93,353.00,
08/01/21,23:37:19,26.25,27.81,3.00,47.21,26.43,1.63,0.10,3.93,352.00,
08/01/21,23:38:19,26.25,27.81,3.00,47.07,26.30,1.62,0.08,3.93,353.00,
08/01/21,23:39:20,26.25,27.81,3.00,47.13,26.22,1.63,0.16,3.93,352.00,
08/01/21,23:40:21,26.25,27.81,3.00,47.37,26.20,1.63,0.16,3.93,353.00,
08/01/21,23:41:22,26.25,27.75,3.00,47.53,26.19,1.62,0.16,3.93,352.00,
08/01/21,23:42:22,26.25,27.75,3.00,47.43,26.19,1.62,0.16,3.92,352.00,
