Date,Time,PH,EC[uS/cm],Water Level[in],Thermocouple #1[C],TC Cold Junction #1[C],Probe #1 Humidity,Probe #1 Temperature[C],Probe #1 Light Level[lux],Probe #1 Moisture Level,
07/22/21,22:55:52,36.07,-0.00,5.40,28.50,30.25,43.14,28.74,118.89,346.00,
07/22/21,22:56:52,36.07,-0.00,5.40,28.50,30.25,43.01,28.74,117.50,346.00,
07/22/21,22:57:53,36.09,-0.00,5.40,28.25,30.25,42.44,28.67,117.50,345.00,
07/22/21,22:58:53,36.09,-0.00,5.40,28.25,30.19,42.10,28.56,72.81,345.00,
07/22/21,22:59:54,36.09,-0.00,5.40,28.25,30.12,42.18,28.53,72.81,345.00,
07/22/21,23:00:54,36.10,-0.00,5.40,28.25,30.12,42.28,28.56,74.19,345.00,
07/22/21,23:01:55,36.10,-0.00,5.40,28.25,30.12,42.28,28.57,72.81,346.00,
07/22/21,23:02:55,36.10,-0.00,5.40,28.25,30.06,42.24,28.57,74.19,345.00,
07/22/21,23:03:56,36.10,-0.00,5.40,28.25,30.06,42.24,28.59,72.81,346.00,
07/22/21,23:04:56,36.10,-0.00,5.40,28.25,30.00,42.19,28.63,72.81,345.00,
07/22/21,23:05:56,36.10,-0.00,5.40,28.25,30.06,42.10,28.61,74.19,345.00,
07/22/21,23:06:58,36.10,-0.00,5.40,28.25,30.06,42.10,28.63,100.45,346.00,
07/23/21,06:43:11,36.99,-0.00,4.80,22.75,24.75,49.26,23.48,100.45,345.00,
07/23/21,06:44:11,36.99,-0.00,4.80,22.75,24.75,49.26,23.51,102.30,345.00,
07/23/21,06:45:12,36.99,-0.00,4.80,22.75,24.69,49.06,23.45,101.38,346.00,
07/23/21,06:46:12,36.99,-0.00,4.80,22.50,24.62,49.06,23.45,103.22,345.00,
07/23/21,06:47:13,36.97,-0.00,4.80,22.75,24.62,49.20,23.41,103.68,346.00,
07/23/21,06:48:13,36.99,-0.00,4.80,22.75,24.56,49.28,23.35,104.60,345.00,
07/23/21,06:49:14,36.99,-0.00,4.80,22.50,24.56,49.16,23.40,103.68,346.00,
07/23/21,06:50:14,36.99,-0.00,4.80,22.50,24.50,49.18,23.35,97.69,345.00,
07/23/21,06:51:15,36.99,-0.00,4.80,22.75,24.50,49.06,23.37,97.69,345.00,
07/23/21,06:52:15,36.99,-0.00,4.80,22.50,24.50,48.96,23.32,97.69,346.00,
07/23/21,06:53:16,37.00,-0.00,4.80,22.50,24.44,48.80,23.31,62.21,345.00,
07/23/21,06:54:16,37.00,-0.00,4.80,22.50,24.38,48.56,23.31,61.75,345.00,
07/23/21,06:55:17,36.97,-0.00,4.80,22.75,24.44,48.60,23.35,62.21,345.00,
07/23/21,06:56:18,36.95,-0.00,4.80,22.75,24.38,48.57,23.32,62.67,345.00,
07/23/21,06:57:18,37.00,-0.00,4.80,22.50,24.38,48.48,23.31,63.13,345.00,
07/23/21,06:58:19,37.00,-0.00,4.80,22.50,24.38,48.41,23.30,62.67,345.00,
07/23/21,06:59:19,37.00,-0.00,4.80,22.50,24.38,48.33,23.30,64.97,346.00,
07/23/21,07:00:20,37.00,-0.00,4.80,22.50,24.31,48.33,23.28,62.67,345.00,
07/23/21,07:01:20,37.00,-0.00,4.80,22.50,24.38,48.31,23.31,62.67,346.00,
07/23/21,07:02:21,37.00,-0.00,4.80,22.75,24.31,48.17,23.35,63.13,345.00,
07/23/21,07:03:21,37.00,-0.00,4.80,22.75,24.38,48.10,23.40,62.67,345.00,
07/23/21,07:04:22,37.00,-0.00,4.80,22.75,24.38,47.94,23.37,63.59,345.00,
07/23/21,07:05:22,37.00,-0.00,4.80,22.75,24.38,47.91,23.35,65.43,345.00,
07/23/21,07:06:23,37.00,-0.00,4.80,22.75,24.38,47.91,23.31,67.74,345.00,
07/23/21,07:07:23,37.00,-0.00,4.80,22.75,24.38,47.92,23.25,90.78,345.00,
07/23/21,07:08:24,37.00,-0.00,4.80,22.50,24.31,47.94,23.11,60.83,346.00,
07/23/21,07:09:24,37.00,-0.00,4.80,22.75,24.31,48.02,23.08,73.73,346.00,
07/23/21,07:10:25,37.00,-0.00,4.80,22.25,24.31,47.94,22.96,61.75,346.00,
07/23/21,07:11:25,37.00,-0.00,4.80,22.25,24.38,47.99,22.86,63.13,345.00,
07/23/21,07:12:26,37.00,-0.00,4.80,22.25,24.31,48.10,22.85,98.61,345.00,
07/23/21,07:13:26,37.00,-0.00,4.80,22.25,24.25,48.53,22.77,135.48,346.00,
07/23/21,07:14:27,37.00,-0.00,4.80,22.25,24.31,48.74,22.75,137.32,346.00,
07/23/21,07:15:27,37.00,-0.00,4.80,22.25,24.25,49.12,22.75,139.62,345.00,
07/23/21,07:16:28,37.00,-0.00,4.80,22.25,24.19,49.39,22.75,138.70,345.00,
07/23/21,07:17:29,37.01,-0.00,4.80,22.25,24.19,49.58,22.85,140.54,346.00,
07/23/21,07:18:29,37.00,-0.00,4.80,22.50,24.25,49.61,22.86,141.00,345.00,
07/23/21,07:19:30,37.01,-0.00,4.80,22.50,24.19,49.81,22.89,142.85,346.00,
07/23/21,07:20:30,37.01,-0.00,4.80,22.50,24.25,49.74,22.88,144.23,345.00,
07/23/21,07:21:31,37.01,-0.00,4.80,22.50,24.25,49.79,22.90,142.85,345.00,
07/23/21,07:22:31,37.01,-0.00,4.80,22.50,24.25,49.91,22.89,145.61,346.00,
07/23/21,07:23:32,37.01,-0.00,4.80,22.50,24.25,49.97,22.90,146.07,345.00,
07/23/21,07:24:32,37.01,-0.00,4.80,22.50,24.25,49.99,22.90,110.59,346.00,
07/23/21,07:25:33,37.01,-0.00,4.80,22.50,24.25,50.07,22.92,110.59,345.00,
07/23/21,07:26:33,37.01,-0.00,4.80,22.50,24.25,50.11,22.89,112.90,345.00,
07/23/21,07:27:34,37.01,-0.00,4.80,22.75,24.25,50.14,22.90,112.44,346.00,
07/23/21,07:28:34,37.01,-0.00,4.80,22.75,24.25,50.29,22.92,113.36,345.00,
07/23/21,07:29:35,37.01,-0.00,4.80,22.75,24.25,50.31,22.89,113.36,345.00,
07/23/21,07:30:35,37.01,-0.00,4.80,22.75,24.31,50.38,22.89,113.36,345.00,
07/23/21,07:31:36,37.01,-0.00,4.80,23.00,24.31,50.26,22.90,115.66,345.00,
07/23/21,07:32:36,37.01,-0.00,4.80,22.75,24.31,50.24,22.90,117.50,345.00,
07/23/21,07:33:37,37.01,-0.00,4.80,22.75,24.31,50.32,22.95,116.12,345.00,
07/23/21,07:34:37,37.01,-0.00,4.80,22.75,24.31,50.23,22.95,117.50,346.00,
07/23/21,07:35:38,37.01,-0.00,4.80,22.75,24.31,50.26,22.97,117.50,345.00,
07/23/21,07:36:38,37.01,-0.00,4.80,22.75,24.38,50.25,23.00,118.43,345.00,
07/23/21,07:37:39,37.01,-0.00,4.80,23.00,24.31,50.09,22.99,118.89,345.00,
07/23/21,07:38:39,37.01,-0.00,4.80,22.50,24.38,50.05,23.01,120.27,345.00,
07/23/21,07:39:40,37.01,-0.00,4.80,22.75,24.38,50.09,23.01,121.19,346.00,
07/23/21,07:40:41,6.92,-0.00,45.60,22.75,24.31,50.04,22.95,121.65,345.00,
07/23/21,07:41:41,6.93,-0.00,45.60,22.75,24.38,50.12,23.00,123.49,345.00,
07/23/21,07:42:41,6.93,-0.00,45.60,22.75,24.38,50.13,23.00,125.80,345.00,
07/23/21,07:43:42,6.93,-0.00,45.60,22.75,24.38,50.14,23.00,128.56,345.00,
07/23/21,07:44:42,6.93,-0.00,45.60,23.00,24.38,50.03,23.06,129.02,345.00,
07/23/21,07:45:42,6.92,-0.00,45.60,23.00,24.38,49.95,23.06,131.79,346.00,
07/23/21,07:46:43,6.93,-0.00,45.60,23.00,24.44,49.94,23.10,134.09,345.00,
07/23/21,07:47:43,6.93,-0.00,45.60,23.00,24.38,49.95,23.06,132.71,345.00,
07/23/21,07:48:43,6.92,-0.00,45.60,23.00,24.44,49.93,23.08,135.48,346.00,
07/23/21,07:49:44,6.92,-0.00,45.60,23.00,24.44,49.81,23.11,136.86,346.00,
07/23/21,07:50:44,6.93,-0.00,45.60,23.00,24.44,49.85,23.11,137.32,345.00,
07/23/21,07:51:44,6.93,-0.00,45.60,23.00,24.44,49.92,23.11,138.24,346.00,
07/23/21,07:52:44,6.93,-0.00,45.60,23.00,24.44,49.87,23.13,141.47,346.00,
07/23/21,07:53:45,6.92,-0.00,45.60,23.00,24.50,49.88,23.17,141.93,345.00,
07/23/21,07:54:45,6.93,-0.00,45.60,23.00,24.50,49.89,23.16,143.31,345.00,
07/23/21,07:55:45,6.94,-0.00,45.60,22.75,24.50,49.85,23.18,143.77,346.00,
07/23/21,07:56:46,6.93,-0.00,45.60,22.75,24.50,49.86,23.14,145.15,346.00,
07/23/21,07:57:46,6.93,-0.00,45.60,23.00,24.50,50.08,23.18,148.84,346.00,
07/23/21,07:58:46,6.93,-0.00,45.60,22.75,24.44,49.95,23.23,148.38,345.00,
07/23/21,07:59:47,6.93,-0.00,45.60,23.00,24.44,49.91,23.21,149.30,346.00,
07/23/21,08:00:47,6.93,-0.00,45.60,23.00,24.50,49.92,23.25,148.38,345.00,
07/23/21,08:01:47,6.93,-0.00,45.60,23.25,24.50,49.98,23.25,154.83,345.00,
07/23/21,08:02:48,6.93,-0.00,45.60,23.00,24.50,49.90,23.28,155.75,345.00,
07/23/21,08:03:48,6.93,-0.00,45.60,23.25,24.56,49.77,23.32,158.05,346.00,
07/23/21,08:04:48,6.93,-0.00,45.60,23.25,24.56,49.69,23.38,158.98,345.00,
07/23/21,08:05:49,6.93,-0.00,45.60,23.00,24.56,49.63,23.32,149.76,345.00,
07/23/21,08:06:49,6.93,-0.00,45.60,23.00,24.62,49.45,23.23,147.00,345.00,
07/23/21,08:07:49,6.93,-0.00,45.60,22.75,24.62,49.43,23.11,136.40,345.00,
07/23/21,08:08:50,6.93,-0.00,45.60,22.75,24.56,49.38,23.03,140.08,345.00,
07/23/21,08:09:50,6.94,-0.00,45.60,22.50,24.56,49.48,22.93,168.19,345.00,
07/23/21,08:10:50,6.93,-0.00,45.60,22.50,24.56,49.63,22.88,141.93,346.00,
07/23/21,08:11:51,6.93,-0.00,45.60,22.50,24.56,49.78,22.85,174.64,345.00,
07/23/21,08:12:51,6.93,-0.00,45.60,22.75,24.56,49.86,22.89,174.18,345.00,
07/23/21,08:13:51,6.93,-0.00,45.60,22.75,24.56,49.89,22.93,176.03,345.00,
07/23/21,08:14:52,6.93,-0.00,45.60,22.75,24.50,49.85,22.95,176.49,345.00,
07/23/21,08:15:52,6.93,-0.00,45.60,22.75,24.56,49.82,22.96,177.87,345.00,
07/23/21,08:16:52,6.93,-0.00,45.60,22.75,24.56,49.90,23.00,179.71,345.00,
07/23/21,08:17:53,6.92,-0.00,45.60,23.00,24.56,49.79,23.10,182.48,346.00,
07/23/21,08:18:53,6.93,-0.00,45.60,23.00,24.56,49.65,23.17,182.94,345.00,
07/23/21,08:19:53,6.94,-0.00,45.60,23.00,24.56,49.61,23.20,221.18,345.00,
07/23/21,08:20:54,6.93,-0.00,45.60,23.25,24.56,49.71,23.25,223.49,345.00,
07/23/21,08:21:54,6.93,-0.00,45.60,23.00,24.56,49.63,23.30,221.18,346.00,
07/23/21,08:22:54,6.93,-0.00,45.60,23.00,24.56,49.60,23.31,223.49,346.00,
07/23/21,08:23:55,6.93,-0.00,45.60,23.25,24.62,49.49,23.34,223.49,345.00,
07/23/21,08:24:55,6.93,-0.00,45.60,23.25,24.62,49.49,23.41,223.03,345.00,
07/23/21,08:25:55,6.92,-0.00,45.60,23.25,24.62,49.37,23.48,225.33,345.00,
07/23/21,08:26:55,6.92,-0.00,45.60,23.25,24.62,49.36,23.52,226.71,345.00,
07/23/21,08:27:56,6.93,-0.00,45.60,23.50,24.69,49.33,23.48,226.71,345.00,
07/23/21,08:28:56,6.93,-0.00,45.60,23.50,24.75,49.45,23.52,229.48,346.00,
07/23/21,08:29:56,6.93,-0.00,45.60,23.50,24.75,49.33,23.54,232.24,345.00,
07/23/21,08:30:57,6.92,-0.00,45.60,23.25,24.69,49.25,23.48,228.56,345.00,
07/23/21,08:31:57,36.96,-0.00,4.80,23.50,24.75,49.36,23.50,232.24,346.00,
07/23/21,08:32:57,36.96,-0.00,4.80,23.50,24.81,49.39,23.52,232.24,345.00,
07/23/21,08:33:58,36.96,-0.00,4.80,23.50,24.75,49.42,23.51,233.16,345.00,
07/23/21,08:34:58,36.96,-0.00,4.80,23.50,24.81,49.48,23.56,231.32,345.00,
07/23/21,08:35:58,36.96,-0.00,4.80,23.50,24.81,49.39,23.55,229.48,346.00,
07/23/21,08:36:59,36.96,-0.00,4.80,23.50,24.81,49.33,23.50,231.32,345.00,
07/23/21,08:37:59,36.93,-0.00,4.80,23.25,24.88,49.28,23.44,234.55,345.00,
07/23/21,08:38:59,36.96,-0.00,4.80,23.25,24.88,49.44,23.44,219.34,345.00,
07/23/21,08:40:00,36.93,-0.00,4.80,23.25,24.88,49.42,23.47,219.34,345.00,
07/23/21,08:41:00,36.95,-0.00,4.80,23.00,24.88,49.39,23.47,217.96,345.00,
07/23/21,08:42:00,36.95,-0.00,4.80,23.25,24.88,49.35,23.50,219.34,345.00,
07/23/21,08:43:00,36.95,-0.00,4.80,23.50,24.88,49.26,23.61,220.26,345.00,
07/23/21,08:44:01,36.95,-0.00,4.80,23.25,24.88,49.13,23.56,221.64,345.00,
07/23/21,08:45:01,36.95,-0.00,4.80,23.25,24.88,49.21,23.61,216.12,346.00,
07/23/21,08:46:01,36.93,-0.00,4.80,23.25,24.88,49.08,23.62,217.96,346.00,
07/23/21,08:47:02,36.93,-0.00,4.80,23.25,24.88,49.07,23.58,206.44,345.00,
07/23/21,08:48:02,36.95,-0.00,4.80,23.25,24.88,49.07,23.62,207.36,345.00,
07/23/21,08:49:02,36.95,-0.00,4.80,23.50,24.88,48.96,23.63,208.74,345.00,
07/23/21,08:50:03,36.95,-0.00,4.80,23.50,24.88,48.95,23.71,209.66,346.00,
07/23/21,08:51:03,36.95,-0.00,4.80,23.50,24.94,48.95,23.73,207.36,345.00,
07/23/21,08:52:03,36.92,-0.00,4.80,23.50,24.94,49.00,23.75,191.69,350.00,
07/23/21,08:53:04,36.92,-0.00,4.80,23.50,25.00,48.95,23.78,194.00,350.00,
07/23/21,08:54:04,36.92,-0.00,4.80,23.25,25.06,48.83,23.72,195.38,350.00,
07/23/21,08:55:04,36.95,-0.00,4.80,23.50,25.06,48.82,23.80,199.99,350.00,
07/23/21,08:56:05,36.92,-0.00,4.80,23.75,25.12,48.71,23.79,205.06,350.00,
07/23/21,08:57:05,36.92,-0.00,4.80,23.75,25.19,48.69,23.79,205.06,350.00,
07/23/21,08:58:05,36.92,-0.00,4.80,23.50,25.19,48.64,23.76,205.98,350.00,
07/23/21,08:59:06,36.92,-0.00,4.80,23.50,25.25,48.61,23.80,204.60,350.00,
07/23/21,09:00:06,36.91,-0.00,4.80,23.75,25.25,48.66,23.83,206.90,350.00,
07/23/21,09:01:06,36.91,-0.00,4.80,23.50,25.31,48.59,23.87,205.52,350.00,
